folder,path,file,type,pages,text_chars,method
OBC 2025,/home/mhbook/Downloads/OBC 2025/ Roster Modification_BCW Department May 2026.pdf, Roster Modification_BCW Department May 2026.pdf,pdf,5,8289,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/1056-BCW 64 O 66 SUB CAT.pdf,1056-BCW 64 O 66 SUB CAT.pdf,pdf,3,10568,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/1057-BCW Incl 51 ccommunity in sub cat.pdf,1057-BCW Incl 51 ccommunity in sub cat.pdf,pdf,2,7373,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/1106-BCW _ hike Res 7 to 17.pdf,1106-BCW _ hike Res 7 to 17.pdf,pdf,2,6156,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/1107-BCW Incl 25 community sub cat.pdf,1107-BCW Incl 25 community sub cat.pdf,pdf,3,8537,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/917-BCW SUB CATAGORIGATION OBC A & B.pdf,917-BCW SUB CATAGORIGATION OBC A & B.pdf,pdf,2,6083,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/Notification No 944-BCW Dt 18.05.2026.pdf,Notification No 944-BCW Dt 18.05.2026.pdf,pdf,1,1049,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/Notification No 945-BCW Dt 18.05.2026.pdf,Notification No 945-BCW Dt 18.05.2026.pdf,pdf,3,4856,text-extracted
OBC 2025,/home/mhbook/Downloads/OBC 2025/OBC List_BCW_26.pdf,OBC List_BCW_26.pdf,pdf,3,6681,text-extracted
OBC OLD,/home/mhbook/Downloads/OBC OLD/1132-BCW96 B.pdf,1132-BCW96 B.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/1673-BCW  Incl 35 com May 2012.pdf,1673-BCW  Incl 35 com May 2012.pdf,pdf,2,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/183-BCW sl BC B 85 kalal sub cast.pdf,183-BCW sl BC B 85 kalal sub cast.pdf,pdf,1,0,visual-needed
